               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094816,              0.1016,                   0,              0.4306,             0.47854,             0.41842,              0.1364,            0.069761,             0.09454,                   0,            0.070136,           0.0033182,           0.0033182
                   1,            0.070259,            0.099675,                   0,              0.6742,             0.61015,             0.57682,             0.17155,            0.062659,            0.090741,                   0,            0.040005,           0.0065198,           0.0065198
                   2,            0.063497,            0.098724,                   0,             0.54456,             0.76802,             0.60287,             0.23141,            0.051553,            0.099685,                   0,            0.009741,           0.0095894,           0.0095894
                   3,            0.057536,            0.096806,                   0,             0.86601,             0.78908,             0.82707,             0.33927,            0.053112,            0.089947,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.053407,            0.095429,                   0,             0.90396,             0.83174,             0.88392,             0.42248,             0.04499,             0.08738,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.050653,            0.095139,                   0,             0.89802,             0.82869,             0.86481,             0.38263,            0.046851,            0.088109,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.048837,            0.095409,                   0,             0.90468,             0.84575,             0.87964,             0.40882,            0.046748,            0.087932,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.047166,            0.093175,                   0,             0.91265,              0.8558,             0.89178,             0.43821,             0.04249,            0.086886,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.046371,            0.091829,                   0,             0.90824,             0.86667,             0.89785,             0.43431,            0.044348,            0.086954,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.045377,            0.091172,                   0,             0.91486,             0.85909,             0.89587,             0.43029,            0.044055,            0.086669,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.045438,            0.091706,                   0,             0.91043,             0.87057,             0.90351,             0.45415,            0.041876,             0.08648,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.044867,            0.091635,                   0,             0.91748,             0.87154,             0.90696,               0.457,             0.04163,            0.085606,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.044659,             0.09099,                   0,             0.91564,             0.86581,             0.89648,             0.43869,            0.042887,             0.08607,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.044358,            0.090808,                   0,             0.91418,             0.87715,             0.90757,             0.46047,            0.041727,            0.085722,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.043544,             0.08925,                   0,              0.9209,              0.8772,             0.90785,             0.46088,            0.041394,            0.085496,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043444,            0.088482,                   0,             0.92274,             0.88154,             0.91203,             0.46746,            0.041266,            0.085466,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.043383,            0.089383,                   0,             0.91851,             0.88411,             0.91136,             0.46111,            0.041427,            0.085194,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.043062,            0.088579,                   0,             0.92407,             0.88311,             0.91368,             0.46592,            0.041476,            0.085361,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.042828,            0.089608,                   0,             0.92307,             0.88164,             0.91181,             0.47379,            0.040819,            0.085573,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.042707,            0.088707,                   0,             0.92091,             0.88174,             0.90909,             0.46282,            0.041245,            0.085482,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.042537,            0.088476,                   0,             0.92619,             0.87977,             0.91249,             0.47284,            0.040645,            0.085196,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.042296,              0.0873,                   0,             0.92245,             0.88554,             0.91392,             0.47333,            0.040443,            0.085514,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.04212,            0.086729,                   0,             0.92488,             0.88126,             0.91459,             0.46146,            0.041649,            0.085588,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.042148,            0.087672,                   0,             0.93091,             0.87934,             0.91792,             0.47419,            0.040877,            0.085363,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.042009,            0.087667,                   0,             0.92388,             0.88906,             0.91764,             0.47792,            0.040482,            0.085374,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.041592,            0.084277,                   0,             0.92713,             0.88706,             0.91566,             0.47498,            0.040461,            0.085263,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.041532,            0.086862,                   0,             0.92612,             0.88768,             0.91711,             0.47515,             0.04043,            0.085483,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.041509,            0.087726,                   0,             0.92381,             0.88363,             0.91324,             0.46697,             0.04095,            0.085507,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.041514,             0.08499,                   0,             0.92844,             0.89093,              0.9183,             0.48038,            0.040344,            0.085106,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.04128,             0.08629,                   0,             0.92631,             0.88952,              0.9177,             0.47568,            0.040333,            0.084901,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.041245,            0.085478,                   0,             0.92381,             0.88924,             0.91628,             0.47542,            0.040488,            0.085394,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.041007,            0.087526,                   0,             0.92862,             0.88835,             0.91717,             0.47564,            0.040419,            0.085872,                   0,             0.00406,             0.00406,             0.00406
