               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039685,             0.08258,                   0,             0.93404,             0.89477,             0.93015,             0.48595,            0.040229,             0.08751,                   0,            0.070137,           0.0033181,           0.0033181
                   1,            0.041403,            0.084853,                   0,             0.92962,             0.89868,             0.92995,             0.48345,            0.040417,            0.087104,                   0,            0.040005,           0.0065197,           0.0065197
                   2,            0.043565,             0.08619,                   0,             0.92801,             0.87587,             0.91575,             0.43691,            0.044071,            0.088725,                   0,           0.0097416,           0.0095894,           0.0095894
                   3,            0.044087,            0.088515,                   0,             0.92471,             0.88726,             0.92128,             0.46662,            0.041864,            0.087197,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.043468,            0.087556,                   0,             0.92721,             0.86852,             0.91499,             0.45376,            0.041557,            0.090299,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.042914,            0.087152,                   0,             0.93422,             0.88364,              0.9271,             0.47481,            0.041539,            0.086962,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.042535,            0.089112,                   0,             0.93022,             0.87718,             0.92424,             0.47255,            0.041166,            0.088813,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.042477,            0.087013,                   0,             0.92874,             0.89062,             0.92675,             0.48047,            0.041175,            0.086519,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.042098,            0.088361,                   0,             0.92638,             0.89577,             0.92725,             0.48498,            0.040593,            0.086304,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041879,            0.086633,                   0,             0.93463,                0.89,             0.92965,             0.48421,            0.040466,            0.086276,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.041793,            0.086241,                   0,             0.93675,             0.88976,             0.93153,             0.48813,            0.040497,            0.085877,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.04167,            0.085718,                   0,             0.93123,             0.89215,             0.92859,             0.48459,            0.040311,            0.086571,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.041255,            0.085997,                   0,             0.93592,             0.89002,             0.92842,             0.48455,            0.040275,            0.086584,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.041155,             0.08645,                   0,             0.93552,             0.89034,             0.92908,             0.48164,            0.040663,            0.086516,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.04099,            0.086012,                   0,             0.92727,             0.89367,             0.92568,             0.47899,            0.040626,            0.086136,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.041147,            0.084371,                   0,             0.93586,             0.88476,             0.92617,             0.48471,            0.040772,            0.087682,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.040983,            0.084078,                   0,             0.92822,              0.8891,             0.92453,             0.47425,            0.040495,            0.087725,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.040914,            0.086435,                   0,              0.9346,             0.88787,             0.92585,             0.48204,            0.040423,            0.086051,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.040749,            0.085535,                   0,             0.93466,             0.89208,             0.93112,             0.48381,            0.040704,            0.086614,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.040844,            0.085945,                   0,              0.9309,             0.89215,             0.92651,             0.48396,            0.040578,            0.086743,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.040428,            0.083862,                   0,              0.9344,             0.89109,             0.93112,             0.49022,            0.040398,            0.086864,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.040349,             0.08414,                   0,              0.9345,             0.88849,               0.927,              0.4822,            0.040472,            0.086581,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.040382,            0.083672,                   0,             0.92868,             0.89305,             0.92713,             0.48533,            0.040275,            0.086622,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.040104,            0.083491,                   0,             0.93603,             0.89859,             0.93315,              0.4933,            0.040115,            0.085814,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.040021,            0.082223,                   0,             0.93144,             0.89393,              0.9273,             0.48504,            0.040406,            0.086407,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.039922,            0.081524,                   0,             0.93096,             0.89854,             0.92985,             0.48443,            0.040514,            0.087266,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.039936,            0.083353,                   0,             0.93563,             0.89477,             0.93161,             0.49204,            0.040343,             0.08723,                   0,             0.00505,             0.00505,             0.00505
