               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11774,             0.07706,                   0,             0.26465,               0.315,             0.18167,             0.04437,            0.092675,            0.078491,                   0,              0.0703,              0.0033,              0.0033
                   1,              0.0869,             0.08551,                   0,             0.54674,             0.51161,             0.46034,             0.11875,            0.073314,            0.084218,                   0,            0.039643,           0.0059766,           0.0059766
                   2,            0.077229,            0.090997,                   0,             0.35113,             0.54074,               0.372,             0.11858,            0.069829,            0.081859,                   0,           0.0083266,           0.0079933,           0.0079933
                   3,            0.069443,            0.091997,                   0,             0.60333,             0.65358,             0.62846,             0.22623,            0.058306,            0.080899,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.066089,             0.08721,                   0,             0.70537,             0.73959,             0.72575,             0.28665,            0.055384,            0.083541,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.060748,            0.088737,                   0,             0.85646,             0.74077,             0.77933,             0.27138,            0.052578,            0.081105,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.058457,            0.086548,                   0,             0.86853,             0.75191,             0.79418,             0.28118,            0.053106,            0.081299,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.056629,            0.088674,                   0,             0.90005,             0.79825,             0.86932,             0.36869,            0.047496,            0.078918,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.054712,            0.087106,                   0,             0.91216,             0.80442,             0.87292,              0.3815,            0.046935,            0.078202,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.052873,             0.08487,                   0,             0.91262,             0.81245,             0.87474,             0.38239,            0.045988,            0.077979,                   0,             0.00208,             0.00208,             0.00208
