               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094816,              0.1016,                   0,              0.4306,             0.47854,             0.41842,              0.1364,            0.069761,             0.09454,                   0,            0.070136,           0.0033182,           0.0033182
                   1,            0.070259,            0.099675,                   0,              0.6742,             0.61015,             0.57682,             0.17155,            0.062659,            0.090741,                   0,            0.040005,           0.0065198,           0.0065198
                   2,            0.063497,            0.098724,                   0,             0.54456,             0.76802,             0.60287,             0.23141,            0.051553,            0.099685,                   0,            0.009741,           0.0095894,           0.0095894
                   3,            0.057536,            0.096806,                   0,             0.86601,             0.78908,             0.82707,             0.33927,            0.053112,            0.089947,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.053407,            0.095429,                   0,             0.90396,             0.83174,             0.88392,             0.42248,             0.04499,             0.08738,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.050653,            0.095139,                   0,             0.89802,             0.82869,             0.86481,             0.38263,            0.046851,            0.088109,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.048837,            0.095409,                   0,             0.90468,             0.84575,             0.87964,             0.40882,            0.046748,            0.087932,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.047166,            0.093175,                   0,             0.91265,              0.8558,             0.89178,             0.43821,             0.04249,            0.086886,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.046371,            0.091829,                   0,             0.90824,             0.86667,             0.89785,             0.43431,            0.044348,            0.086954,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.045377,            0.091172,                   0,             0.91486,             0.85909,             0.89587,             0.43029,            0.044055,            0.086669,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.045438,            0.091706,                   0,             0.91043,             0.87057,             0.90351,             0.45415,            0.041876,             0.08648,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.044867,            0.091635,                   0,             0.91748,             0.87154,             0.90696,               0.457,             0.04163,            0.085606,                   0,             0.00802,             0.00802,             0.00802
